questionEn,questionTa,optionAEn,optionATa,optionBEn,optionBTa,optionCEn,optionCTa,optionDEn,optionDTa,correctAnswer,explanationEn,explanationTa
"What is the capital of Tamil Nadu?","தமிழ்நாட்டின் தலைநகரம் எது?","Chennai","சென்னை","Mumbai","மும்பை","Delhi","டெல்லி","Kolkata","கொல்கத்தா","A","Chennai is the capital of Tamil Nadu","சென்னை தமிழ்நாட்டின் தலைநகரம்"
"What is 2+2?","","4","","3","","5","","6","","A","2+2 equals 4",""
"What is the square root of 16?","","4","","2","","8","","16","","A","The square root of 16 is 4",""
"Who wrote Thirukkural?","திருக்குறள் எழுதியவர் யார்?","Thiruvalluvar","திருவள்ளுவர்","Kambar","கம்பர்","Bharathi","பாரதி","Ilango","இளங்கோ","A","Thiruvalluvar wrote Thirukkural","திருவள்ளுவர் திருக்குறளை எழுதினார்"
"","தமிழ்நாட்டின் முதல்வர் யார்?","","எம்.கே.ஸ்டாலின்","","எடப்பாடி பழனிசாமி","","ஜெயலலிதா","","என்.டி.ராமராவ்","A","","எம்.கே.ஸ்டாலின் தமிழ்நாட்டின் முதல்வர்"
"What is the largest planet in our solar system?","","Jupiter","","Saturn","","Earth","","Mars","","A","Jupiter is the largest planet",""
"Which river flows through Chennai?","சென்னையில் பாயும் ஆறு எது?","Cooum","கூவம்","Ganges","கங்கை","Yamuna","யமுனை","Krishna","கிருஷ்ணா","A","Cooum river flows through Chennai","கூவம் ஆறு சென்னையில் பாய்கிறது"
"What is the chemical symbol for water?","","H2O","","CO2","","NaCl","","O2","","A","Water is represented by H2O",""
"Who is known as the Father of the Nation in India?","இந்தியாவில் தேசத்தந்தை என்று அழைக்கப்படுபவர் யார்?","Mahatma Gandhi","மகாத்மா காந்தி","Jawaharlal Nehru","ஜவஹர்லால் நேரு","Sardar Patel","சர்தார் படேல்","Subhash Chandra Bose","சுபாஷ் சந்திர போஸ்","A","Mahatma Gandhi is known as the Father of the Nation","மகாத்மா காந்தி தேசத்தந்தை என்று அழைக்கப்படுகிறார்"
"What is the value of π (pi) approximately?","","3.14","","2.71","","1.41","","4.67","","A","Pi (π) is approximately 3.14",""

